*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Controller_v3 - trial 6.3.4 mux fix filled
*Date=23:15:45
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;101.981;-29.8072;0;Bottom;Copper Fill256
2;;;120.193;-133.109;0;Bottom;Copper Fill333
3;;;62.1538;-10.554;0;Bottom;Copper Fill283
4;220;THT;38.2953;-58.5532;180;Bottom;R59
5;;;9.271;-61.1254;0;Bottom;Copper Fill365
6;;;26.8478;-64.5417;0;Bottom;Copper Fill328
7;;;126.53;-46.7998;0;Bottom;Copper Fill107
8;;;106.845;-43.6502;0;Bottom;Copper Fill357
9;;;43.7388;-94.2724;0;Bottom;Copper Fill174
10;;;126.301;-123.978;0;Bottom;Copper Fill62
11;100nF;100 mil [THT, multilayer];116.4;-81.4132;-90;Bottom;C18
12;;;135.509;-64.9354;0;Bottom;Copper Fill213
13;;THT;70.6803;-12.1982;0;Bottom;Fan-3
14;;;53.4924;-139.535;0;Bottom;Copper Fill140
15;;;87.8078;-113.64;0;Bottom;Copper Fill386
16;;;43.3578;-41.0467;0;Bottom;Copper Fill22
17;;;89.5096;-108.369;0;Bottom;Copper Fill180
18;0.22mF;200 mil [THT, electrolytic];57.9803;-25.5332;-90;Bottom;C1
19;220;THT;124.02;-75.6982;90;Bottom;R41
20;;;123.99;-108.42;0;Bottom;Copper Fill72
21;;;114.097;-101.359;0;Bottom;Copper Fill177
22;;;27.813;-138.583;0;Bottom;Copper Fill65
23;;;8.7884;-68.1358;0;Bottom;Copper Fill199
24;220;THT;77.0303;-96.0182;-90;Bottom;R1
25;;THT;94.1753;-120.148;-90;Bottom;RTC
26;;;86.9315;-114.453;0;Bottom;Copper Fill387
27;10k;THT;50.3603;-101.733;180;Bottom;R35
28;;;31.7246;-50.4574;0;Bottom;Copper Fill235
29;;;123.99;-94.4502;0;Bottom;Copper Fill346
30;;;45.593;-57.6202;0;Bottom;Copper Fill225
31;;THT;83.3803;-12.1982;0;Bottom;Fan-5
32;;;127.165;-21.4252;0;Bottom;Copper Fill373
33;;;116.37;-23.9398;0;Bottom;Copper Fill104
34;;;62.4078;-40.5641;0;Bottom;Copper Fill30
35;;400 mil [THT];85.2853;-56.0132;180;Bottom;L4
36;;THT;51.6303;-14.7382;0;Bottom;TH4
37;;;114.833;-133.338;0;Bottom;Copper Fill143
38;;400 mil [THT];71.3153;-41.4082;0;Bottom;L2
39;;;73.8378;-142.647;0;Bottom;Copper Fill46
40;;;75.2856;-94.1454;0;Bottom;Copper Fill29
41;;;63.3857;-54.1404;0;Bottom;Copper Fill301
42;220;THT;62.4253;-66.1732;0;Bottom;R31
43;;THT;89.7303;-12.1982;0;Bottom;Fan-6
44;;;55.6768;-66.815;0;Bottom;Copper Fill5
45;;;97.9678;-34.7348;0;Bottom;Copper Fill252
46;;TO92 [THT];108.59;-67.9893;0;Bottom;Q18
47;;THT;108.145;-10.2932;180;Bottom;RGB4
48;;;48.133;-25.4638;0;Bottom;Copper Fill264
49;220;THT;33.8503;-138.563;0;Bottom;R5
50;;;24.511;-66.2054;0;Bottom;Copper Fill327
51;;;79.5401;-23.9652;0;Bottom;Copper Fill318
52;220;THT;38.2953;-56.0132;180;Bottom;R58
53;;;109.652;-19.8631;0;Bottom;Copper Fill363
54;;THT;113.86;-10.2932;180;Bottom;RGB3
55;;;135.433;-22.5936;0;Bottom;Copper Fill272
56;;;127.165;-21.4252;0;Bottom;Copper Fill113
57;;;12.6746;-104.102;0;Bottom;Copper Fill170
58;;;34.4678;-119.99;0;Bottom;Copper Fill348
59;;;86.9315;-114.453;0;Bottom;Copper Fill131
60;;;68.2244;-10.8588;0;Bottom;Copper Fill284
61;;;25.5778;-13.4623;0;Bottom;Copper Fill92
62;;;77.0128;-17.0183;0;Bottom;Copper Fill103
63;;THT;98.6203;-7.75323;0;Bottom;HDD2
64;;;84.3026;-83.7568;0;Bottom;Copper Fill2
65;;;27.2288;-55.7152;0;Bottom;Copper Fill227
66;;THT;132.275;-109.988;0;Bottom;PWM 4
67;;;23.0378;-147.181;0;Bottom;Copper Fill81
68;;;44.958;-42.6088;0;Bottom;Copper Fill233
69;;;56.388;-90.691;0;Bottom;Copper Fill187
70;;;113.462;-103.239;0;Bottom;Copper Fill173
71;;;120.193;-131.407;0;Bottom;Copper Fill57
72;;;53.6956;-143.65;0;Bottom;Copper Fill142
73;;THT;26.8653;-134.118;90;Bottom;Reset
